state,-1,0,1
"(1, 1)",-2.158637365861091,-0.6276995307465416,0.5742662853848196
"(1, 2)",-1.9266736949615457,-0.6297999505418325,0.4296782217617459
"(1, 3)",-1.872728662558354,-0.6295517774342176,0.34120320394570625
"(1, 4)",-1.8100059568936882,-0.6285804226793256,0.3098120455817926
"(1, 5)",-1.7136198238469593,-0.6284670122254828,0.2722639428369201
"(1, 6)",-1.7497369072236217,-0.6422627779921595,0.24672836064494802
"(1, 7)",-1.6904694448581081,-0.6335998075735558,0.18755185009726644
"(1, 8)",-1.5764571000574807,-0.63713547369088,0.09608717863928755
"(1, 9)",-1.5129922465722547,-0.6375727161928799,0.024278072797363076
"(1, 10)",-1.469190327511111,-0.6377554633792691,-0.040287663290500035
"(1, 11)",-1.3831414848059693,-0.6437961376690257,-0.09033456389617966
"(1, 12)",-1.3385927783915192,-0.6507353373150919,-0.1454838920640228
"(1, 13)",-1.310915606500753,-0.6401290027378915,-0.2030097672648752
"(1, 14)",-1.1847621154153605,-0.6407238661503103,-0.2538890111004613
"(1, 15)",-1.1402138348062631,-0.6428750748393748,-0.3404333467058714
"(1, 16)",-1.0899129516988426,-0.6322813890506893,-0.42271356924816744
"(1, 17)",-1.1838834415902715,-0.6312036226754286,-0.7748798838628279
"(1, 18)",-1.201577372867445,-0.625635980544504,-0.7582298092112402
"(1, 19)",-1.190286812304236,-0.6338483895798228,-0.8158110955420214
"(1, 20)",-1.1022679787225667,-0.6300159546686782,-0.8314686686172349
"(1, 21)",-0.950170953047857,-0.6308482025769917,-1.1641232777946122
"(1, 22)",-0.5551453043444804,-0.6250396859081068,-1.1688250475297501
"(0, 1)",-1.5162425987150259,0.0,-0.00043666823716125404
"(0, 2)",-1.307839307094982,0.0,-0.21129864591958497
"(0, 3)",-1.1971838556482515,0.0,-0.3144139446664958
"(0, 4)",-1.1249928109304517,0.0,-0.3512889649051116
"(0, 5)",-1.1106222814899416,0.0,-0.40039571907793176
"(0, 6)",-1.1061817227044566,0.0,-0.43343714125539545
"(0, 7)",-1.0515551168429387,0.0,-0.44053587255526544
"(0, 8)",-0.9426944621739322,0.0,-0.5797411706553907
"(0, 9)",-0.8819038041323118,0.0,-0.5633995499341606
"(0, 10)",-0.8151165967831306,0.0,-0.6860320942213883
"(0, 11)",-0.7136748493032502,0.0,-0.7287166842033698
"(0, 12)",-0.7125711313996603,0.0,-0.8142963149077141
"(0, 13)",-0.5930024686391717,0.0,-0.8342993393775888
"(0, 14)",-0.5769062615446207,0.0,-0.9386661509765188
"(0, 15)",-0.46125227254416534,0.0,-1.014141409677706
"(0, 16)",-0.3763524589335577,0.0,-1.1237293225442537
"(0, 17)",-0.25839162129412074,0.0,-1.2798859040431902
"(0, 18)",-0.46762231562028206,0.0,-1.2250572354394118
"(0, 19)",-0.31863027139131345,0.0,-1.2506777659924024
"(0, 20)",-0.4796690180653127,0.0,-1.2563147094583025
"(0, 21)",-0.23410946991840717,0.0,-1.1265235895019525
"(0, 22)",0.1249632113180412,0.0,-1.8089286928878163
"(-1, 1)",-0.9266296445570263,-0.6266936166120975,-0.6334872361095517
"(-1, 2)",-0.6713636263248287,-0.626044467683122,-0.8379915088853217
"(-1, 3)",-0.4157090500568732,-0.6287586822004564,-0.928513744381589
"(-1, 4)",-0.48483786458369094,-0.6278238417320811,-1.0487748424410366
"(-1, 5)",-0.36304970486123456,-0.6283661311993967,-1.095137826129899
"(-1, 6)",-0.41263803164186913,-0.6353582398199707,-1.0821159354780128
"(-1, 7)",-0.3509417503179244,-0.6362695499971831,-1.1011680078957893
"(-1, 8)",-0.2848328903669821,-0.6362360529339828,-1.1863398119884685
"(-1, 9)",-0.20325793023845942,-0.638483587921248,-1.3148283141585362
"(-1, 10)",-0.1559116458284106,-0.639970825229232,-1.313660818295961
"(-1, 11)",-0.0968445971720332,-0.6420282504202167,-1.3958441076158126
"(-1, 12)",-0.04248007949422672,-0.6502168068987189,-1.4833219583786934
"(-1, 13)",0.006448675891995136,-0.6498730036559547,-1.540129611106476
"(-1, 14)",0.06198065159634994,-0.6516795172644964,-1.8153824583525493
"(-1, 15)",0.14578993196122356,-0.6442695570216734,-1.6568539303079037
"(-1, 16)",0.24843782325611577,-0.6420786214324101,-1.7498607124910348
"(-1, 17)",0.3541829878779259,-0.6244326241134782,-1.8324498666545173
"(-1, 18)",0.31568416153075546,-0.631283497884347,-2.0357712720019605
"(-1, 19)",0.36317356247689275,-0.630126582278484,-1.2653603179203932
"(-1, 20)",0.3959661323844358,-0.6270028011204503,-1.7868037592338097
"(-1, 21)",0.4943881026035332,-0.6200000000000013,-2.6656438843260335
"(-1, 22)",0.6486149416581767,-0.6516091954022997,-2.4664696618457604
