trade_date,FW_label
20241106_090000_498722757,0.45421785
20241106_090000_735728393,-0.86990815
20241106_090000_989824170,-0.91654915
20241106_090001_241454077,-0.2051871
20241106_090001_499199513,-0.5494202
20241106_090001_734198500,-0.012218406
20241106_090001_977358666,-0.83727133
20241106_090002_234228030,1.4443821
20241106_090002_493698179,0.47643277
20241106_090002_740249083,-0.28111112
20241106_090002_981808189,-0.040906183
20241106_090003_226552821,0.6941184
20241106_090003_484568256,0.025679072
20241106_090003_730979980,-0.7129544
20241106_090003_975429632,-0.5756832
20241106_090004_226547023,-0.32715157
20241106_090004_478780831,-0.77995485
20241106_090004_727636076,-0.2972537
20241106_090004_971770630,0.7079891
20241106_090005_226214484,1.2376977
20241106_090005_478622947,0.4721509
20241106_090005_724236587,0.3073826
20241106_090005_972485225,0.5443544
20241106_090006_224988068,-0.038979523
20241106_090006_479859730,-0.1848843
20241106_090006_721933072,-1.891164
20241106_090006_969834236,-0.23041679
20241106_090007_222106489,-0.29494375
20241106_090007_473418260,0.040146865
20241106_090007_719272639,0.59759825
20241106_090007_967987715,0.48200485
20241106_090008_219037034,0.6497321
20241106_090008_474136270,0.4505706
20241106_090008_726975619,-0.4974967
20241106_090008_966839598,0.4278064
20241106_090009_222046939,-1.1792433
20241106_090009_477612024,-0.4317147
20241106_090009_726016056,-0.22771002
20241106_090009_973316331,-0.07509248
20241106_090010_220048283,0.1821923
20241106_090010_477396683,-0.20806254
20241106_090010_721332479,0.09424762
20241106_090010_969663042,-0.08838203
20241106_090011_219061255,0.5266792
20241106_090011_475323584,0.7644753
20241106_090011_717620334,-0.03591057
20241106_090011_970927591,-0.5996317
20241106_090012_218270451,0.055589415
20241106_090012_472047989,-0.83333313
20241106_090012_722878219,-0.2705905
20241106_090012_976515090,-1.4587766
20241106_090013_224183773,-0.5268419
20241106_090013_473212907,0.3727658
20241106_090013_723188660,-0.027996501
20241106_090013_967712234,0.5145599
20241106_090014_223750100,0.26594135
20241106_090014_470055609,-0.043048225
20241106_090014_723438342,-0.29114863
20241106_090014_972172798,-0.057486497
20241106_090015_227707796,0.18745925
20241106_090015_475974949,-0.06175878
20241106_090015_723220487,-0.21047272
20241106_090015_970983546,-0.402105
20241106_090016_222632483,-1.3075627
20241106_090016_471586180,-0.65140194
20241106_090016_721746274,0.8517353
20241106_090016_966618648,-0.2400036
20241106_090017_223208480,-0.1798111
20241106_090017_470737006,-0.76641893
20241106_090017_719549749,0.2107871
20241106_090017_973642928,0.91044
20241106_090018_217791570,0.38018847
20241106_090018_468622571,-0.05428674
20241106_090018_723934065,0.24672936
20241106_090018_968675805,-0.04287424
20241106_090019_213228768,-0.3265934
20241106_090019_469235223,-0.6493736
20241106_090019_718029378,-0.056430303
20241106_090019_971592359,-0.29692167
20241106_090020_221150684,0.28842878
20241106_090020_473615956,0.5210937
20241106_090020_721283786,1.1726316
20241106_090020_972717967,0.30988643
20241106_090021_218626221,0.064107634
20241106_090021_468323184,-0.1826031
20241106_090021_721009054,0.19465423
20241106_090021_966679686,0.108808525
20241106_090022_213429801,0.6477271
20241106_090022_466606853,0.25428736
20241106_090022_719381959,-0.05643197
