trade_date,FW_label
20241107_090000_277045005,0.41012296
20241107_090000_535449016,-0.7784307
20241107_090000_779134634,0.02301911
20241107_090001_024158898,0.37464222
20241107_090001_271506691,0.8280096
20241107_090001_537553247,0.043508686
20241107_090001_774764016,0.20636041
20241107_090002_025368588,0.5544012
20241107_090002_278243200,0.07502757
20241107_090002_529823274,-0.4646424
20241107_090002_770825475,-0.23982379
20241107_090003_029746816,-0.1018964
20241107_090003_273670820,-0.031321988
20241107_090003_524714206,0.1642736
20241107_090003_768990712,-0.66055864
20241107_090004_023407123,-0.088396795
20241107_090004_272688358,0.029953202
20241107_090004_524862582,-0.028498432
20241107_090004_769563202,0.009886781
20241107_090005_022469696,-0.6262811
20241107_090005_271999692,-0.025433024
20241107_090005_526850791,0.12263224
20241107_090005_775831538,-0.5749742
20241107_090006_022697273,-0.03861888
20241107_090006_271223993,0.0633918
20241107_090006_524337047,0.14157695
20241107_090006_770951324,0.30687794
20241107_090007_021683484,0.4528105
20241107_090007_269795780,0.3844028
20241107_090007_524407607,1.6474849
20241107_090007_769017706,2.0851505
20241107_090008_014702997,-0.51634246
20241107_090008_265693590,-0.02303422
20241107_090008_522095139,0.20197637
20241107_090008_767384891,-0.09366734
20241107_090009_023577964,0.34995672
20241107_090009_271027379,0.07932699
20241107_090009_524114291,0.06343173
20241107_090009_764096027,0.4812002
20241107_090010_014199453,-0.15397395
20241107_090010_263957722,0.031009296
20241107_090010_519312719,-0.07608535
20241107_090010_766345975,-0.3444251
20241107_090011_015977017,-0.66532797
20241107_090011_264724626,0.56727046
20241107_090011_521021738,1.8393624
20241107_090011_769118231,0.14626764
20241107_090012_020845363,-0.14778663
20241107_090012_273006704,0.23642258
20241107_090012_524009563,-0.81441176
20241107_090012_767485239,0.44490737
20241107_090013_019673173,-0.6821192
20241107_090013_271545409,-0.3415066
20241107_090013_530799836,-0.38488096
20241107_090013_775567336,-0.8646548
20241107_090014_024263956,-1.0288147
20241107_090014_274270761,1.6878923
20241107_090014_532294583,-0.43879357
20241107_090014_777745433,0.62239707
20241107_090015_022225871,0.50802195
20241107_090015_273924716,0.46401224
20241107_090015_531230912,-0.14477153
20241107_090015_772194390,0.16120853
20241107_090016_023102263,-0.20315392
20241107_090016_271359641,0.076631196
20241107_090016_527853028,-0.36593422
20241107_090016_770690478,-0.29289582
20241107_090017_024316420,0.44660604
20241107_090017_274689442,0.19063704
20241107_090017_526769435,-0.033701383
20241107_090017_765734095,-0.21323945
20241107_090018_020650368,-0.62259984
20241107_090018_265334708,-0.15926887
20241107_090018_523381232,-0.06965931
20241107_090018_762960587,-0.123778395
20241107_090019_013699686,0.022153387
20241107_090019_266858071,0.7148378
20241107_090019_518138517,-0.04928208
20241107_090019_764217466,-0.5774323
20241107_090020_013526139,0.49028972
20241107_090020_265709861,-0.19301803
20241107_090020_522109470,0.107457854
20241107_090020_770448243,0.41815254
20241107_090021_018262948,0.2683581
20241107_090021_266681570,0.4867349
20241107_090021_516360786,-0.33521703
20241107_090021_765200822,-0.29031345
20241107_090022_014705597,-0.09776779
20241107_090022_262512697,-0.0037460532
20241107_090022_518038163,-0.23630516
20241107_090022_764105658,-0.20453374
20241107_090023_017445385,-0.6700881
20241107_090023_261307134,-0.35930166
20241107_090023_514940802,0.14030175
20241107_090023_758122798,-0.3430983
20241107_090024_011717270,-0.12588695
20241107_090024_263822433,0.12547989
20241107_090024_513636848,0.11063025
20241107_090024_760813118,1.7190853
20241107_090025_015270379,0.4098157
20241107_090025_262222203,0.4675804
20241107_090025_517648829,0.40067258
20241107_090025_765706576,0.27683726
20241107_090026_016123083,0.27760836
20241107_090026_260838443,0.34088185
20241107_090026_519808593,0.3096077
20241107_090026_759371939,0.2426406
20241107_090027_012960379,0.2706021
20241107_090027_260647867,0.1899678
20241107_090027_519831726,0.034230508
20241107_090027_768058417,0.037980713
20241107_090028_267032677,0.09358928
20241107_090028_513090593,0.09480814
20241107_090028_765959867,0.12330935
20241107_090029_013656030,-0.16222511
20241107_090029_260980530,0.022225002
20241107_090029_532738350,-0.05200126
20241107_090029_766726597,0.23954375
20241107_090030_019013592,-0.06541543
20241107_090030_263326494,0.19760083
20241107_090030_520730348,1.3829154
20241107_090030_769771689,-1.1110243
20241107_090031_014564765,-0.7796092
20241107_090031_260608524,-0.06550472
20241107_090031_526720369,0.19671904
20241107_090031_766183633,0.52530515
20241107_090032_023193332,0.930168
20241107_090032_266897661,-1.5734464
20241107_090032_524064057,-1.1863328
20241107_090032_769198433,-0.4558164
20241107_090033_020494681,-0.26666936
20241107_090033_265126291,-0.25181666
20241107_090033_524102448,-0.63543415
20241107_090033_767989627,-0.8654495
20241107_090034_015267788,0.22478642
20241107_090034_261641014,-0.58070517
20241107_090034_525422539,-0.45829841
20241107_090035_010850029,-0.05061935
20241107_090035_265281732,0.36410287
20241107_090035_519923336,0.27000734
20241107_090035_759965475,0.20593587
20241107_090036_012471524,0.038108304
