trade_date,FW_label
20241108_210000_426736472,-1.1338602
20241108_210000_645196771,1.4190887
20241108_210000_888686974,-0.61449444
20241108_210001_128617165,-0.3209624
20241108_210001_386435763,1.1227278
20241108_210001_626432524,0.66617906
20241108_210001_872731922,1.2822155
20241108_210002_120974347,0.3437748
20241108_210002_382482936,1.5936834
20241108_210002_621785220,0.7422845
20241108_210002_874943573,-0.7331723
20241108_210003_121539463,-1.399541
20241108_210003_379955174,-1.1165978
20241108_210003_619303137,-1.5015167
20241108_210003_870495757,-1.0963227
20241108_210004_116445402,-1.341924
20241108_210004_378386545,-1.3041064
20241108_210004_616109346,-0.6089156
20241108_210004_872569512,-1.1758225
20241108_210005_115937874,-0.7361581
20241108_210005_378564190,-1.098853
20241108_210005_618560176,-0.34470323
20241108_210005_870183251,-0.90707636
20241108_210006_119679378,0.82109684
20241108_210006_379503029,1.619563
20241108_210006_616755603,-0.05837909
20241108_210006_872832147,-2.0016348
20241108_210007_117214750,-0.4157026
20241108_210007_374737714,-2.1509733
20241108_210007_616667400,-0.22342671
20241108_210007_867471875,-0.8097962
20241108_210008_113704428,1.2040045
20241108_210008_374885848,-0.8597623
20241108_210008_626185785,0.57631767
20241108_210008_868075465,0.66938615
20241108_210009_114619307,1.1596364
20241108_210009_370940173,0.22961958
20241108_210009_630624994,-0.8283861
20241108_210009_872016750,-0.42190847
20241108_210010_112512211,0.38962534
20241108_210010_379808545,0.56823695
20241108_210010_619574887,-0.13392456
20241108_210010_881050109,0.76032025
20241108_210011_116511457,1.5394245
20241108_210011_377298318,-0.072520055
20241108_210011_620026852,-0.00011449866
20241108_210011_870088406,1.0889727
20241108_210012_117193380,0.19134669
20241108_210012_370773689,1.3234034
20241108_210012_622779427,0.7688308
20241108_210012_869414513,1.5247494
20241108_210013_116326088,1.3733866
20241108_210013_377417009,1.7731467
20241108_210013_626379780,-0.20098275
20241108_210013_876592724,-1.1784635
20241108_210014_118943829,-1.7339664
20241108_210014_371954149,0.8457678
20241108_210014_626469213,1.5824049
20241108_210014_869056998,-0.71347004
20241108_210015_117042875,1.469777
20241108_210015_369327840,-0.84597206
20241108_210015_621564295,0.15278064
20241108_210015_868841445,-0.03174468
20241108_210016_115789373,0.7633035
20241108_210016_372145593,-0.13851969
20241108_210016_623404493,-0.22543795
20241108_210016_866565046,-0.6584868
20241108_210017_116512353,0.2375317
20241108_210017_376410370,-0.41574773
20241108_210017_617772855,-0.18841065
20241108_210017_870651755,0.52830124
20241108_210018_116405530,0.85174376
20241108_210018_372529145,1.4015201
20241108_210018_617998104,1.945262
20241108_210018_872658586,-0.9462975
20241108_210019_118285110,-1.3595966
20241108_210019_381097345,-1.0873526
20241108_210019_619529515,-0.043228574
20241108_210019_878139516,0.60903376
20241108_210020_116494232,-1.0363331
20241108_210020_380931374,-0.64508635
20241108_210020_616044927,-0.38063994
20241108_210020_872330265,0.27804932
20241108_210021_114519629,0.99951655
20241108_210021_371065913,-0.3939988
20241108_210021_619686474,0.42451775
20241108_210021_867906832,1.0119356
20241108_210022_114519827,0.37426323
20241108_210022_368629607,-0.56132656
20241108_210022_615149883,0.03611181
20241108_210022_867353499,0.8516554
20241108_210023_114485393,1.444117
20241108_210023_363000725,-0.5811944
20241108_210023_620036122,0.106575094
20241108_210023_868306022,-0.59530896
20241108_210024_117349278,0.54115546
20241108_210024_371618468,0.94383115
20241108_210024_618583790,-0.5792865
20241108_210024_868621941,0.3678781
20241108_210025_114818138,0.67643493
20241108_210025_374143722,0.9805985
20241108_210025_620310011,0.047843374
20241108_210025_872514312,-0.099947065
20241108_210026_112295183,-1.2935361
20241108_210026_372047731,0.36690828
20241108_210026_614220260,-1.0574745
20241108_210026_873810406,0.83705765
20241108_210027_115067120,-0.32235533
20241108_210027_368065402,-0.0299386
20241108_210027_614490822,-1.3759348
20241108_210027_866186237,0.53258365
20241108_210028_113755993,0.6198505
20241108_210028_370491171,-0.2543632
20241108_210028_615131193,-2.3016994
20241108_210028_870295279,0.17558728
20241108_210029_114131136,-0.09927889
20241108_210029_368880875,-0.61395687
20241108_210029_614794696,0.18541197
20241108_210029_870800137,0.78460574
20241108_210030_116912352,0.29001018
20241108_210030_372243780,-0.10548227
20241108_210030_622115752,0.6022756
20241108_210030_874881387,1.54713
20241108_210031_114665450,0.97639877
20241108_210031_372293523,0.5861002
20241108_210031_628629670,1.3193008
20241108_210031_871440778,-0.34700936
20241108_210032_119350235,1.0853772
20241108_210032_373037567,-0.13958047
20241108_210032_625640783,-0.261176
20241108_210032_871637274,-0.74532473
20241108_210033_115208976,-0.3666278
20241108_210033_375565043,0.72295016
20241108_210033_620020263,-0.18589498
20241108_210033_876334277,-0.5178968
20241108_210034_118845123,-1.1220776
20241108_210034_377386310,0.4718841
20241108_210034_618592830,-0.11116024
20241108_210034_877155213,0.15322189
20241108_210035_115359062,0.6522717
20241108_210035_381109816,0.93350506
20241108_210035_618801027,0.19364719
20241108_210035_875786956,-0.25986096
20241108_210036_112839265,0.033514626
20241108_210036_371216091,0.17932892
20241108_210036_622083231,-0.069173984
20241108_210036_871114783,0.5051389
20241108_210037_112978203,0.7781567
20241108_210037_372174056,0.90009457
20241108_210037_622435028,-0.75053
20241108_210037_871279511,-1.5306109
20241108_210038_116931708,-0.55227625
20241108_210038_376510021,-0.41317677
20241108_210038_615967395,-0.34089872
20241108_210038_867491871,-0.39701095
20241108_210039_117275052,0.047233462
20241108_210039_368507040,0.44358984
20241108_210039_624612531,0.48474655
20241108_210039_869626558,-0.07387761
20241108_210040_115190025,0.15769272
20241108_210040_365945394,-0.6274116
20241108_210040_618592155,-0.4839003
20241108_210040_869909738,0.3152651
20241108_210041_115952206,-0.4822271
20241108_210041_373558982,0.72641355
20241108_210041_614736031,0.07562513
20241108_210041_864263309,-0.24524622
20241108_210042_113949019,0.38982525
20241108_210042_368811455,-0.39636168
20241108_210042_612257511,-0.61923456
20241108_210042_864923615,0.41213295
20241108_210043_111605610,-0.51890475
20241108_210043_366745235,-0.20716842
20241108_210043_620603406,-0.2703653
20241108_210043_867264717,-0.6016619
20241108_210044_113103125,1.2003475
20241108_210044_370012815,1.0919472
20241108_210044_624010007,-0.745691
20241108_210044_874249176,-1.3886746
20241108_210045_115426235,1.0291308
20241108_210045_380701713,-0.3910079
20241108_210045_614789706,0.7666858
20241108_210045_875447760,-0.98524386
20241108_210046_118904233,0.53721577
20241108_210046_382939149,0.1963505
20241108_210046_622117881,0.48317418
20241108_210046_876349518,-0.11263292
20241108_210047_124184509,-0.04084208
20241108_210047_380881104,0.6186568
20241108_210047_620064387,-0.033488415
20241108_210047_871699521,0.0050061736
20241108_210048_124948980,-0.3869765
20241108_210048_370264715,0.33948812
20241108_210048_626664428,-0.19308795
20241108_210048_870365631,0.15346052
20241108_210049_122734604,-0.07785126
20241108_210049_373064406,0.10110024
20241108_210049_632731596,0.20234464
20241108_210049_875400440,0.28524148
20241108_210050_123135160,0.7546714
20241108_210050_375725497,1.6862442
20241108_210050_639173507,-0.38971946
20241108_210050_880522728,0.29262918
20241108_210051_119372900,0.18699907
20241108_210051_385666992,-0.008079166
20241108_210051_617851101,-0.009043533
20241108_210051_874319918,0.16158493
20241108_210052_115054674,0.16069151
20241108_210052_383519877,0.5303056
20241108_210052_619466481,-0.23454006
20241108_210052_877490933,-0.05420252
20241108_210053_111586652,0.1840658
20241108_210053_375948034,-0.11274221
20241108_210053_616434494,-0.010386011
20241108_210053_880149708,-0.12200966
20241108_210054_123296666,-0.09273135
20241108_210054_370211189,0.06342719
20241108_210054_616115607,0.26059115
20241108_210054_866212834,0.003356019
20241108_210055_110120120,0.53082806
20241108_210055_367134645,0.09635664
20241108_210055_614899391,0.23176523
20241108_210055_867803264,0.016363638
20241108_210056_113563175,-0.13232876
20241108_210056_366638024,-0.67266554
20241108_210056_618221702,0.37920746
20241108_210056_865418883,-0.0539222
20241108_210057_114603904,0.5685852
20241108_210057_366501576,0.6077981
20241108_210057_617123394,1.0099669
20241108_210057_865593266,0.38532534
20241108_210058_109686662,0.28372708
20241108_210058_370373738,0.814574
20241108_210058_612650524,0.17882703
20241108_210058_866136555,0.24489726
20241108_210059_110346491,0.0034324024
20241108_210059_373726684,0.40557015
20241108_210059_612718599,-0.20321806
20241108_210059_865107545,0.15035911
20241108_210100_115723633,-1.644309
20241108_210100_376118375,0.009063462
20241108_210100_617043859,-0.5585947
20241108_210100_878901740,-0.45547393
20241108_210101_121155638,0.3199236
20241108_210101_376618447,-1.1618826
20241108_210101_631302660,-0.6815407
20241108_210101_886637709,-0.2914535
20241108_210102_130367551,0.5218672
20241108_210102_378867030,0.82593673
20241108_210102_635025161,2.1982224
20241108_210102_881977792,-0.28938007
20241108_210103_121142144,-0.065481
20241108_210103_378216118,-0.07701533
20241108_210103_635419684,-0.7650564
20241108_210103_877412754,-0.57173556
20241108_210104_121977422,0.066922374
20241108_210104_373439061,-0.5608957
20241108_210104_632372804,-0.023325762
20241108_210104_880612781,-0.28453907
20241108_210105_129607275,1.4494947
20241108_210105_379281977,0.4299433
20241108_210105_630921345,0.1709762
20241108_210105_894531004,-0.22752449
20241108_210106_129062224,0.8515414
20241108_210106_380444472,-0.60634065
20241108_210106_628331536,0.55486923
20241108_210106_895050678,-0.21709143
20241108_210107_124523004,0.7970041
20241108_210107_379034241,-1.6026856
20241108_210107_629661885,-0.20613195
20241108_210107_883882406,-1.1813169
20241108_210108_121798936,0.43184784
20241108_210108_387099394,0.17260997
20241108_210108_628345303,0.109557755
20241108_210108_881288506,0.24128084
20241108_210109_126320314,0.043662913
20241108_210109_382617799,-0.033708237
20241108_210109_630678333,-0.31088343
20241108_210109_882356039,-0.8838544
20241108_210110_118166175,-0.62560385
20241108_210110_377240681,0.0688993
20241108_210110_614802201,-0.92323154
20241108_210110_872060074,-0.74916166
20241108_210111_118292740,0.46067974
20241108_210111_377197736,-0.06997689
20241108_210111_620828254,0.83691436
20241108_210111_873019039,-0.16959466
20241108_210112_121133735,1.1919574
20241108_210112_380227548,0.34278557
20241108_210112_630777240,1.6311318
20241108_210112_874673945,-0.51447445
20241108_210113_125230805,0.8443883
20241108_210113_383083763,-0.971413
20241108_210113_625457904,-0.17814654
20241108_210113_874361780,1.0698562
20241108_210114_121901025,-0.5782983
20241108_210114_369246266,0.5391246
20241108_210114_619743334,-1.0589076
20241108_210114_875059145,0.92010754
20241108_210115_122450755,0.041148342
20241108_210115_370216060,-0.8112438
20241108_210115_615322069,-0.5752533
20241108_210115_871817592,-0.78561145
20241108_210116_120380834,-1.1655117
20241108_210116_371167851,-0.7563583
20241108_210116_622730107,-0.57729244
20241108_210116_870843153,-1.033749
20241108_210117_112994058,-0.16060357
20241108_210117_372114396,0.033417962
20241108_210117_618791039,0.035021216
20241108_210117_869829620,0.0547084
20241108_210118_112203652,0.59359497
20241108_210118_373807993,-0.10124948
20241108_210118_621060477,-1.0490643
20241108_210118_870121617,-0.24813627
20241108_210119_115809101,-0.37314868
20241108_210119_365146020,-0.5570043
20241108_210119_623512518,-0.3977559
20241108_210119_866620815,-0.7393654
20241108_210120_115052565,0.62020975
20241108_210120_373493305,0.772841
20241108_210120_619392977,1.8616755
20241108_210120_868104479,1.0655105
20241108_210121_117205478,1.8308773
20241108_210121_370148076,1.0742526
20241108_210121_625553076,0.5253924
20241108_210121_878042967,0.9521635
20241108_210122_123661087,1.8250163
20241108_210122_378940385,0.66935515
20241108_210122_632592159,1.7732435
20241108_210122_877249688,1.2281984
20241108_210123_126046330,1.5102597
20241108_210123_382538430,0.89046746
20241108_210123_634488787,0.07832556
20241108_210123_879856665,-0.10496455
20241108_210124_126583851,-1.6097546
20241108_210124_386649657,0.038066782
20241108_210124_633482040,0.020970026
20241108_210124_878992179,0.9596997
20241108_210125_119517622,0.0823698
20241108_210125_376827856,-0.3315283
20241108_210125_630537896,0.60471344
20241108_210125_875723150,1.8393438
20241108_210126_122174662,-1.1300299
20241108_210126_382256503,-0.41082698
20241108_210126_630465156,-0.10157957
20241108_210126_884693208,-0.999057
20241108_210127_119147610,0.58137274
20241108_210127_392813531,0.15870044
20241108_210127_624395552,-0.068422996
20241108_210127_880429479,-0.2133704
20241108_210128_119656449,-0.5333523
20241108_210128_375469862,0.1773309
20241108_210128_626757279,0.42883655
20241108_210128_879056792,-0.15094584
20241108_210129_125763095,0.17067252
20241108_210129_382462785,0.23317246
20241108_210129_625623342,0.6010669
20241108_210129_871536207,0.85174906
20241108_210130_124157642,-0.46159253
20241108_210130_378271064,0.95848745
20241108_210130_633868509,0.3460283
20241108_210130_874725267,-0.81878185
20241108_210131_122186127,-0.39826652
20241108_210131_374635874,-2.561555
20241108_210131_625220296,0.4186243
20241108_210131_877853453,-0.6727883
