trade_date,FW_label
20241101_210015_057006674,-0.771326
20241101_210015_326284849,-1.9554495
20241101_210015_572119423,0.3481458
20241101_210015_818109819,-0.12600483
20241101_210016_069736370,-0.24675895
20241101_210016_319869116,0.48431578
20241101_210016_566452389,0.161166
20241101_210016_823088635,-1.492063
20241101_210017_058363359,-0.21544434
20241101_210017_312589047,0.42201355
20241101_210017_569589482,1.1665889
20241101_210017_812429225,-0.1447921
20241101_210018_060554040,-0.61376107
20241101_210018_323246027,-0.56979316
20241101_210018_565602296,0.0014166329
20241101_210018_819514967,-0.43839756
20241101_210019_067778148,-0.0045114364
20241101_210019_314866218,-0.66571945
20241101_210019_572559054,-0.11036443
20241101_210019_815530594,-0.040025733
20241101_210020_058998744,-1.1263599
20241101_210020_318495418,-1.2107431
20241101_210020_576153324,-0.7664179
20241101_210020_829869693,1.0760825
20241101_210021_069774933,-0.035928093
20241101_210021_328381402,0.4014974
20241101_210021_563697874,-0.49092838
20241101_210021_813020908,-0.033079434
20241101_210022_054159717,0.63197684
20241101_210022_320374988,-0.8658971
20241101_210022_565616620,-0.34202015
20241101_210022_817082756,1.3534216
20241101_210023_067157628,1.7905881
20241101_210023_316619188,0.22504894
20241101_210023_567892654,-0.86706
20241101_210023_818487983,0.36025783
20241101_210024_065368129,0.034182288
20241101_210024_314859252,0.0022795592
20241101_210024_569098576,-0.24962921
20241101_210024_815673155,0.74445313
20241101_210025_060452013,0.81233495
20241101_210025_321953845,2.0396316
20241101_210025_558039252,-0.679404
20241101_210025_817017354,0.3843815
20241101_210026_060707152,-0.19768925
20241101_210026_319619409,0.29848376
20241101_210026_563435325,0.17508653
20241101_210026_821588085,0.37908402
20241101_210027_065371777,1.1352981
20241101_210027_320367131,-0.8015323
20241101_210027_559717650,-1.0545601
20241101_210027_818062339,0.8331225
20241101_210028_053385450,-0.35151803
20241101_210028_318122228,1.1261114
20241101_210028_567171430,0.5177346
20241101_210028_816931969,-0.1499446
20241101_210029_058516875,1.0661937
20241101_210029_313425607,0.43062937
20241101_210029_558769446,0.16281585
20241101_210029_810431258,-1.081582
20241101_210030_064545274,0.2720121
20241101_210030_317962544,0.009207329
20241101_210030_571829584,0.5372904
20241101_210030_819281728,0.9760538
20241101_210031_063299728,1.1482687
20241101_210031_322513735,0.3950259
20241101_210031_569304347,-0.25334153
20241101_210031_816702450,0.85055757
20241101_210032_064615631,1.4452053
20241101_210032_316162015,1.6295074
20241101_210032_564152215,-0.7772766
20241101_210032_811825176,-1.0771434
20241101_210033_057293314,-1.5286888
20241101_210033_320711118,-0.832598
20241101_210033_560224235,0.6758184
20241101_210033_815000748,0.3778427
20241101_210034_058235093,-0.086085044
20241101_210034_313140783,0.67744684
20241101_210034_559645135,0.7592268
20241101_210034_811877250,-0.08086278
20241101_210035_053912253,-0.81574506
20241101_210035_315461091,-0.9685667
20241101_210035_557065030,-0.5018235
20241101_210035_812042014,-0.5940086
20241101_210036_066299041,-0.13900127
20241101_210036_318610676,0.22677423
20241101_210036_572506857,0.25505114
20241101_210036_816417384,0.2279919
20241101_210037_061823947,0.12483815
20241101_210037_311974690,0.26052722
20241101_210037_567513937,0.1335295
20241101_210037_819707800,0.015089015
20241101_210038_068080729,-0.01712509
20241101_210038_318990231,0.053538896
20241101_210038_574960519,0.006451169
20241101_210038_808262795,-0.06545206
20241101_210039_058082842,-0.16356988
20241101_210039_306295637,-0.08602678
20241101_210039_566926695,0.15492658
20241101_210039_806339249,-0.31050304
20241101_210040_055384884,-0.17725863
20241101_210040_307231035,-1.5346661
20241101_210040_563321739,0.21386231
20241101_210040_808604702,0.40517774
20241101_210041_052072426,-0.35883084
20241101_210041_305341181,-0.5037628
20241101_210041_556705967,-0.56117487
20241101_210041_816413634,-0.5207291
20241101_210042_055774331,-0.004741749
20241101_210042_323158464,0.43744358
20241101_210042_557719399,0.5339199
20241101_210042_815073648,0.9359429
20241101_210043_054123675,0.3475345
20241101_210043_309271027,0.46574545
20241101_210043_815672610,0.7000795
20241101_210044_050695799,0.3126076
20241101_210044_302922326,0.22803639
20241101_210044_562472676,0.7200509
20241101_210044_800776907,0.5091819
20241101_210045_048123476,0.6560409
20241101_210045_305223996,1.1680292
20241101_210045_556183469,0.35326955
20241101_210045_816768477,0.43601617
20241101_210046_055006130,0.36645237
20241101_210046_308895848,1.0616877
20241101_210046_557311185,0.48180112
20241101_210046_804005128,0.9628505
20241101_210047_049835562,0.5224984
20241101_210047_298130982,0.3770228
20241101_210047_556821209,-0.0943323
20241101_210047_798791107,0.0011525247
20241101_210048_049722866,0.0487367
20241101_210048_313104446,0.3106454
20241101_210048_548050357,0.6138225
20241101_210048_804043569,1.1008469
20241101_210049_050906853,1.0038103
20241101_210049_318817545,0.25883752
20241101_210049_551947977,2.0767431
20241101_210049_821691058,0.9231107
20241101_210050_053499685,2.292756
20241101_210050_312654864,1.9174894
20241101_210050_561043523,-0.061446264
20241101_210050_824991791,-0.20435576
20241101_210051_054762728,-0.0057052374
20241101_210051_312530006,0.37643608
20241101_210051_555704648,0.45349434
20241101_210051_822908032,0.081118524
20241101_210052_062995829,-0.17051513
20241101_210052_321420819,-0.49805242
20241101_210052_568988781,-0.8644307
20241101_210052_815397989,-0.24771482
20241101_210053_056302679,-0.04589065
20241101_210053_311292046,-0.028863152
20241101_210053_567459955,-0.31829208
20241101_210053_811967467,-1.4952358
20241101_210054_058961529,-0.687232
20241101_210054_312000392,0.3690367
20241101_210054_559574795,0.5820958
20241101_210054_817056384,0.37773034
20241101_210055_057445761,0.057129182
20241101_210055_310983359,1.0677491
20241101_210055_567016899,-0.61612576
20241101_210055_808120698,-0.15935078
20241101_210056_055296738,-0.03430321
20241101_210056_316863953,0.10853361
20241101_210056_557442587,0.17208229
20241101_210056_817553098,0.08408875
20241101_210057_052502587,0.72283846
20241101_210057_311955482,0.021440817
20241101_210057_549479759,0.26773003
20241101_210057_818647003,0.7602645
20241101_210058_056854697,0.6875973
20241101_210058_316350535,0.106803216
20241101_210058_561000536,0.33370987
20241101_210058_816008537,0.45820424
20241101_210059_057327973,1.4767936
20241101_210059_319709187,1.45405
20241101_210059_556743834,0.41324615
20241101_210059_804680062,-0.47863716
20241101_210100_048608032,0.067821346
20241101_210100_313034292,2.6437774
