trade_date,FW_label
20241106_210000_243259101,0.22175685
20241106_210000_469963885,0.9828395
20241106_210000_717479826,0.076740146
20241106_210000_948801218,-1.4314822
20241106_210001_210698582,-0.14330663
20241106_210001_451719883,-0.23305412
20241106_210001_700295386,-0.904267
20241106_210001_941885686,0.64726454
20241106_210002_204037795,-0.18922125
20241106_210002_446866745,-1.3788134
20241106_210002_710861558,0.50407684
20241106_210002_945417692,-1.5423913
20241106_210003_202118939,-1.1419356
20241106_210003_450638281,-0.076034494
20241106_210003_696334669,-1.6254333
20241106_210003_942236947,-1.0842872
20241106_210004_198636725,-0.96331924
20241106_210004_445661272,-0.38323602
20241106_210004_701401333,2.070338
20241106_210004_936856737,0.6610674
20241106_210005_197501719,-0.5969883
20241106_210005_446538798,-1.0863528
20241106_210005_690611804,-1.6319882
20241106_210005_937631816,-0.836049
20241106_210006_192503413,-0.40694073
20241106_210006_447092569,-0.20424812
20241106_210006_688710956,0.9719459
20241106_210006_936186141,-0.053226717
20241106_210007_194019417,-0.0916923
20241106_210007_447716186,-0.42227778
20241106_210007_690338810,-2.2562642
20241106_210007_933856034,-0.15927415
20241106_210008_193294804,0.09565846
20241106_210008_440809307,-0.9900803
20241106_210008_706682249,0.8360906
20241106_210008_934936603,-0.124831766
20241106_210009_195487195,-1.2013395
20241106_210009_446141018,-0.4786133
20241106_210009_684866520,1.1222432
20241106_210009_935060488,-0.68140304
20241106_210010_198411176,0.300247
20241106_210010_447254842,0.87496686
20241106_210010_695891548,-0.6293277
20241106_210010_939162028,3.2895854
20241106_210011_200014344,0.95953786
20241106_210011_450658863,-0.574633
20241106_210011_689787902,-0.11825575
20241106_210011_936758941,0.84437245
20241106_210012_190169567,-1.2616308
20241106_210012_448316200,-0.3512629
20241106_210012_697437739,-0.6781388
20241106_210012_937384376,0.355428
20241106_210013_197219747,0.5983042
20241106_210013_461888270,1.430829
20241106_210013_709088116,-0.26631168
20241106_210013_931435678,-0.48947263
20241106_210014_203053631,0.41873667
20241106_210014_449326300,-0.15088364
20241106_210014_693004368,0.4470922
