trade_date,FW_label
20241105_133000_029063038,-0.86141324
20241105_133000_278642544,-0.044892
20241105_133000_535215394,-0.20472763
20241105_133000_779806463,1.0455225
20241105_133001_028254744,1.5650439
20241105_133001_272926190,0.06528554
20241105_133001_531221656,-1.0892764
20241105_133001_772133444,2.1473875
20241105_133002_027160683,0.31655765
20241105_133002_272930280,-0.14681073
20241105_133002_522759788,-0.086582184
20241105_133002_780045996,0.24739836
20241105_133003_019886860,-0.4460834
20241105_133003_265459144,-0.9193898
20241105_133003_517516360,-0.54740375
20241105_133003_777167256,-0.95685005
20241105_133004_019059982,-0.120901205
20241105_133004_273877473,-0.4767045
20241105_133004_607106797,-0.33239782
20241105_133004_765278238,0.40162382
20241105_133005_018231920,0.82337534
20241105_133005_269417748,-0.1681789
20241105_133005_518845762,0.53595424
20241105_133005_770134299,0.21557723
20241105_133006_020997425,1.0331502
20241105_133006_267859503,0.046024837
20241105_133006_528831278,-0.1603524
20241105_133006_771414518,-2.0582619
20241105_133007_022647351,0.06352682
20241105_133007_270450941,0.20015137
20241105_133007_529431109,1.4611608
20241105_133007_775645470,0.322148
20241105_133008_028354965,1.7843142
20241105_133008_278508669,2.4570596
20241105_133008_521822203,2.455742
20241105_133008_769420954,0.5258865
20241105_133009_021152084,0.7141717
20241105_133009_269325215,0.36500043
20241105_133009_520696117,-0.017032942
20241105_133009_773630168,-0.07041987
20241105_133010_033555314,-0.258791
20241105_133010_276440813,-0.5170068
20241105_133010_528066207,0.63556963
20241105_133010_775343497,0.17972507
20241105_133011_030250968,0.2722018
20241105_133011_280783446,0.34607533
20241105_133011_527587210,1.2273388
20241105_133011_778300313,1.1126838
20241105_133012_026176539,-0.23395565
20241105_133012_279079767,-0.83291143
20241105_133012_529734795,0.05358264
20241105_133012_779251786,0.12813196
20241105_133013_023963155,-0.2759559
20241105_133013_277285727,-0.55181843
20241105_133013_531356673,-0.72024137
20241105_133013_771688290,0.3174902
20241105_133014_022239645,0.17313339
20241105_133014_277561620,-0.19954355
20241105_133014_526189521,-0.9353398
20241105_133014_770318256,1.0971214
20241105_133015_024687724,-0.62142307
20241105_133015_274108773,0.01168135
20241105_133015_525776939,0.018668147
20241105_133015_775122948,-0.11852179
20241105_133016_033630198,0.16470926
20241105_133016_275359620,0.5934375
20241105_133016_523466672,0.80682373
20241105_133016_777134754,0.86123115
20241105_133017_023800365,0.53270453
20241105_133017_268893244,1.1819961
20241105_133017_525018178,0.43461135
20241105_133017_764412417,0.18132012
20241105_133018_024463975,-0.67741317
20241105_133018_271000883,-1.3334497
20241105_133018_525770569,1.1783767
20241105_133018_771375527,1.5186864
20241105_133019_023467885,1.4256979
20241105_133019_268423090,-0.32548076
20241105_133019_525509438,-0.4275556
20241105_133019_771082944,-0.39519218
20241105_133020_033007751,-0.3166805
20241105_133020_529555253,-0.41062742
20241105_133020_771967200,-0.4084877
20241105_133021_023481655,-0.39701715
20241105_133021_273586080,-0.4445201
20241105_133021_531704991,-0.461722
20241105_133021_766094812,-0.47819906
20241105_133022_021017964,-0.50365025
20241105_133022_271688209,-0.49104568
20241105_133022_519039984,-0.42346498
20241105_133022_767206051,-0.39355597
20241105_133023_018488940,-0.51771533
20241105_133023_266477302,-0.43472338
20241105_133023_519898063,-0.19039117
20241105_133023_766489638,-0.08475883
20241105_133024_025544653,-0.17460145
20241105_133024_266136498,-0.4884988
20241105_133024_523949174,-0.34621766
20241105_133024_769606251,-0.52143836
20241105_133025_020035895,-0.5670983
20241105_133025_267533811,-0.7204718
20241105_133025_519982835,0.24482678
20241105_133025_768000239,0.13329343
20241105_133026_018024287,1.027275
20241105_133026_269368610,0.029422263
20241105_133026_528103415,-0.07262721
20241105_133026_765316501,-0.7651975
20241105_133027_025451788,0.18631805
20241105_133027_277529550,0.7299234
20241105_133027_520603940,0.29455343
20241105_133027_768644957,0.5123921
20241105_133028_026323786,0.66579044
20241105_133028_270583729,0.5400401
20241105_133028_520813767,0.5942249
20241105_133028_774155154,1.5067617
20241105_133029_019081528,-0.66718364
20241105_133029_270180740,-0.9077241
20241105_133029_518282382,0.020661807
20241105_133029_767300417,-0.008960715
20241105_133030_016514834,-0.62573206
20241105_133030_272659565,0.7663572
20241105_133030_529363223,0.27511138
20241105_133030_773549004,0.08692578
20241105_133031_024606900,-0.015271923
20241105_133031_282608032,1.3139671
20241105_133031_523571424,-0.27433193
20241105_133031_767360711,-0.21040212
20241105_133032_020903024,-0.19858189
20241105_133032_277457086,-0.47640112
20241105_133032_520153930,-0.10948285
20241105_133032_762849599,-0.08650952
20241105_133033_016268779,0.010711553
20241105_133033_266052298,-0.47107497
20241105_133033_520532922,-0.071656965
20241105_133033_767166765,-0.080295525
20241105_133034_028376538,0.17723207
20241105_133034_267613344,0.557931
20241105_133034_523931086,-0.73343194
20241105_133034_779677370,-0.9819295
20241105_133035_024016420,-0.23076288
20241105_133035_270443366,-0.29429185
20241105_133035_521206178,0.00623562
20241105_133035_770078358,-0.113075145
20241105_133036_017998943,-0.34675637
20241105_133036_264291217,-0.36727765
20241105_133036_525327330,-0.3477638
20241105_133036_762972727,-0.28553054
20241105_133037_018599007,-0.2848568
20241105_133037_276108261,-0.23570277
20241105_133037_522552750,-0.19329567
20241105_133037_764701251,-0.0859895
20241105_133038_018890643,-0.17961492
20241105_133038_270092110,-0.18563105
20241105_133038_520223245,-0.08438929
20241105_133038_769484937,-0.82006294
20241105_133039_020815772,-0.2638416
20241105_133039_267927964,-0.2974097
20241105_133039_520294463,-0.28376377
20241105_133039_766157364,-0.2601028
20241105_133040_019235435,-0.31162798
20241105_133040_261880597,-0.34664637
20241105_133040_516212006,-0.15886305
20241105_133041_017048814,-0.23735954
20241105_133041_265767695,-0.21394922
20241105_133041_517722602,-0.19188125
