trade_date,FW_label
20241101_133000_187782681,3.1202714
20241101_133000_440664239,-1.2459098
20241101_133000_701117020,0.8493724
20241101_133000_939337714,0.3084618
20241101_133001_180215891,1.4436127
20241101_133001_435473786,-0.29577833
20241101_133001_679195127,0.7205088
20241101_133001_924977662,-0.31619495
20241101_133002_171934315,0.10981909
20241101_133002_421227951,0.15736733
20241101_133002_667029711,0.198621
20241101_133002_917557049,-0.34043315
20241101_133003_173463132,-0.39184174
20241101_133003_428988894,0.9069407
20241101_133003_667455855,0.17578435
20241101_133003_933347588,-0.76519924
20241101_133004_182531450,0.34992978
20241101_133004_429288055,0.9427672
20241101_133004_675829711,-0.8372982
20241101_133004_920924371,1.0935864
20241101_133005_170394028,-0.058206998
20241101_133005_432161733,0.5670954
20241101_133005_665496995,-2.1156518
20241101_133005_917730020,-0.15526916
20241101_133006_165762975,-0.8628762
20241101_133006_419430539,-0.79954165
20241101_133006_667176332,1.0711207
20241101_133006_913611783,0.9595768
20241101_133007_161690270,-1.1864014
20241101_133007_413224583,0.15505743
20241101_133007_660637164,-0.4635572
20241101_133007_912674360,0.107918
20241101_133008_159835846,-1.2427168
20241101_133008_425230567,0.85397816
20241101_133008_652851992,-0.21356465
20241101_133008_917279884,-0.17804699
20241101_133009_153319224,-0.32633683
20241101_133009_407256750,-0.239403
20241101_133009_657740347,-0.09238378
20241101_133009_907685631,-0.4602658
20241101_133010_160651735,-0.52007204
20241101_133010_406505905,0.16589893
20241101_133010_655434626,0.42488363
20241101_133010_918279092,-0.5788638
20241101_133011_156619504,-0.70734036
20241101_133011_408344635,-0.13692184
20241101_133011_659478012,-0.12225204
20241101_133011_905750648,-0.38907626
20241101_133012_155017702,-0.33531457
20241101_133012_403975374,-0.06694748
20241101_133012_655056175,-0.093099974
20241101_133012_902315810,-0.19489296
20241101_133013_150409269,-0.12815727
20241101_133013_403577234,-0.17882244
20241101_133013_654808138,-0.11368855
20241101_133013_905806232,-0.65212077
20241101_133014_154439947,0.34421998
20241101_133014_406309202,0.53750426
20241101_133014_654751026,0.16969466
20241101_133014_904217129,0.15334876
20241101_133015_160598634,-0.2733632
